pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
remote_work_2---shop_3	0	1	1	0	0	0	0	0	0	0	0	0	0
remote_work_2---work_1	0	1	0	1	1	0	0	2	0	0	0	0	0
remote_work_2---work_2	7	5	5	5	2	4	2	2	1	3	0	2	2
remote_work_2---work_3	6	5	2	2	1	1	4	0	1	0	1	0	1
remote_work_2---work_4	3	2	1	1	0	0	0	0	1	0	0	0	0
remote_work_2---work_5	0	1	0	0	0	0	0	0	0	0	0	0	0
remote_work_3---home_1	5	0	3	3	1	0	0	2	1	0	0	2	1
remote_work_3---home_2	2	1	0	0	1	0	0	0	0	0	0	0	0
remote_work_3---home_3	1	0	0	0	0	0	0	1	0	0	0	0	0
remote_work_3---leisure_1	0	0	0	0	0	0	0	0	0	0	0	0	1
remote_work_3---remote_work_4	7	4	2	2	2	1	1	0	1	0	1	0	0
remote_work_3---shop_1	0	0	2	1	0	0	0	0	0	0	0	0	0
remote_work_3---shop_4	1	1	0	0	0	0	0	0	0	0	0	0	0
remote_work_3---work_1	0	0	1	0	1	0	0	0	0	0	0	0	0
remote_work_3---work_2	0	0	0	0	0	0	0	0	0	0	0	1	0
remote_work_3---work_3	1	2	1	1	0	0	1	0	0	0	0	0	0
remote_work_3---work_4	0	1	0	1	0	1	0	0	0	0	1	0	0
remote_work_4---home_1	2	3	5	1	0	1	1	1	0	0	0	1	0
remote_work_4---home_2	6	2	1	0	0	0	0	0	0	0	0	0	0
remote_work_4---work_2	0	1	0	0	0	0	0	0	0	0	0	0	0
remote_work_4---work_5	0	0	0	0	0	0	1	0	0	0	0	0	0
remote_work_5---home_1	0	3	1	0	0	0	0	0	0	0	0	0	0
shop_1---education_1	4	2	0	2	0	2	0	2	0	1	0	0	0
shop_1---education_2	25	7	6	1	1	1	1	1	0	0	0	0	0
shop_1---education_3	1	0	0	0	0	0	0	0	0	0	0	0	0
shop_1---escort_kids_1	5	1	1	3	0	0	1	1	0	0	0	0	0
shop_1---escort_kids_2	0	0	3	0	0	0	0	0	0	0	0	0	0
